"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5447","2024-08-12 10:33:55","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1000","b1","0.5801825293350718","0.590683023872679",,,,,,"5.0E-4","0.0","default",,,"1.18906861813536E15","489.6968038082123","yes","yes","0.8"
"ON-5421","2024-08-12 10:31:46","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","2000","b1","0.5847457627118644",,,"0.6221816976127321",,,,"5.0E-4","0.0","default",,,"1.39156446766416E15","568.0916788578033","yes","yes","0.8"
"ON-5418","2024-08-12 10:31:30","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","1500","BT","0.5645371577574967",,"0.6143899204244032",,,,,"5.0E-4","0.0","default",,,"1.22655271854672E15","477.9110963344574","yes","yes","0.8"
"ON-5415","2024-08-12 10:31:12","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","3500","b1","0.6277705345501956",,,,,,"0.6684350132625995","5.0E-4","0.0","default",,,"3.24443887214304E15","1255.5975594520569","yes","yes","0.8"
"ON-5409","2024-08-12 10:30:44","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1500","BT","0.5893089960886571",,"0.6371021220159151",,,,,"5.0E-4","0.0","default",,,"1.26181409274048E15","526.160368680954","yes","yes","0.8"
"ON-5407","2024-08-12 10:30:34","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","3000","b1","0.6095176010430248",,,,,"0.651027851458886",,"5.0E-4","0.0","default",,,"3.3304970363568E15","1303.5235192775726","yes","yes","0.8"
"ON-5396","2024-08-12 10:29:37","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","2500","b1","0.6121251629726207",,,,"0.6500331564986738",,,"5.0E-4","0.0","default",,,"2.42773706745168E15","971.1128690242767","yes","yes","0.8"
"ON-5394","2024-08-12 10:29:27","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","2","1000","1000","b1","0.5586701434159062","0.585709549071618",,,,,,"5.0E-4","0.0","default",,,"6.7636342072992E14","242.8265528678894","yes","yes","0.8"
"ON-5386","2024-08-12 10:28:53","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","1","1000","1500","BT","0.5990873533246415",,"0.6341180371352785",,,,,"5.0E-4","0.0","default",,,"2.0887698986064E15","901.0002760887146","yes","yes","0.8"
"ON-5382","2024-08-12 10:28:32","shriram","[""BATCH_INC_LINEAR""]","[""EWC_HPARAM""]","0","1000","2000","b1","0.6179921773142112",,,"0.6359416445623343",,,,"5.0E-4","0.0","default",,,"2.08128702766416E15","788.8210039138794","yes","yes","0.8"
