Id,Creation Time,Owner,Tags,Group Tags,args/seed,args/retrain_freq,args/budget,args/strategy,test/test_gold_acc (last),online/1000-gold_0 (average),online/1500-gold_0 (average),online/2000-gold_0 (average),online/2500-gold_0 (average),online/3000-gold_0 (average),online/3500-gold_0 (average),args/learning_rate,args/buffer_percent,args/buffer_policy_parameter,train/total_flops,train/total_time_elapsed,train/total_flops (last),train/total_time_elapsed (last),args/incremental,args/ewc
ON-5445,12/08/2024 10:33,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2500,EN,0.616036506,,,,0.661306366,,,5.00E-04,0.5,random,,,7.55E+15,3212.115111,yes,no
ON-5443,12/08/2024 10:33,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1000,MV,0.602998696,0.621352785,,,,,,5.00E-04,0.5,random,,,2.24E+15,913.8579841,yes,no
ON-5438,12/08/2024 10:33,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2500,CS,0.625162973,,,,0.659980106,,,5.00E-04,0.5,random,,,5.09E+15,2265.554083,yes,no
ON-5432,12/08/2024 10:32,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2500,EN,0.602998696,,,,0.664787798,,,5.00E-04,0.5,random,,,7.22E+15,2666.30363,yes,no
ON-5428,12/08/2024 10:32,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2500,CS,0.605606258,,,,0.654177719,,,5.00E-04,0.5,random,,,5.54E+15,2495.372055,yes,no
ON-5427,12/08/2024 10:32,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1000,EN,0.600391134,0.616213528,,,,,,5.00E-04,0.5,random,,,1.99E+15,742.2059927,yes,no
ON-5426,12/08/2024 10:32,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3000,EN,0.598435463,,,,,0.662135279,,5.00E-04,0.5,random,,,6.91E+15,2640.320926,yes,no
ON-5422,12/08/2024 10:31,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2000,EN,0.611473272,,,0.658156499,,,,5.00E-04,0.5,random,,,6.49E+15,2555.42231,yes,no
ON-5412,12/08/2024 10:30,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2500,MV,0.613428944,,,,0.663295756,,,5.00E-04,0.5,random,,,7.93E+15,3131.134735,yes,no
ON-5410,12/08/2024 10:30,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3500,CS,0.626466754,,,,,,0.67688992,5.00E-04,0.5,random,,,7.33E+15,2671.507825,yes,no
ON-5408,12/08/2024 10:30,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2000,EN,0.623859192,,,0.654177719,,,,5.00E-04,0.5,random,,,7.50E+15,2801.457031,yes,no
ON-5406,12/08/2024 10:30,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2500,CS,0.597783572,,,,0.651690981,,,5.00E-04,0.5,random,,,4.22E+15,1543.113718,yes,no
ON-5405,12/08/2024 10:30,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1500,EN,0.591916558,,0.633454907,,,,,5.00E-04,0.5,random,,,2.55E+15,966.6334567,yes,no
ON-5400,12/08/2024 10:29,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,1500,EN,0.614080834,,0.650696286,,,,,5.00E-04,0.5,random,,,4.62E+15,1830.420027,yes,no
ON-5395,12/08/2024 10:29,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2500,MV,0.612125163,,,,0.661306366,,,5.00E-04,0.5,random,,,6.89E+15,2528.29627,yes,no
ON-5390,12/08/2024 10:29,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,2000,CS,0.60821382,,,0.639588859,,,,5.00E-04,0.5,random,,,3.26E+15,1139.87077,yes,no
ON-5384,12/08/2024 10:28,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3500,EN,0.627770535,,,,,,0.669429708,5.00E-04,0.5,random,,,1.30E+16,4809.598882,yes,no
ON-5377,12/08/2024 10:27,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3500,MV,0.616688396,,,,,,0.671916446,5.00E-04,0.5,random,,,8.79E+15,3380.948798,yes,no
ON-5374,12/08/2024 10:27,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3000,CS,0.614080834,,,,,0.656830239,,5.00E-04,0.5,random,,,6.84E+15,2386.732539,yes,no
ON-5372,12/08/2024 10:27,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1500,MV,0.609517601,,0.635278515,,,,,5.00E-04,0.5,random,,,3.27E+15,1276.79637,yes,no
ON-5359,12/08/2024 10:26,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,3000,CS,0.620599739,,,,,0.665616711,,5.00E-04,0.5,random,,,5.35E+15,1920.918582,yes,no
ON-5357,12/08/2024 10:26,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,3000,CS,0.608865711,,,,,0.665119363,,5.00E-04,0.5,random,,,5.73E+15,2046.411829,yes,no
ON-5356,12/08/2024 10:26,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1000,CS,0.60821382,0.61704244,,,,,,5.00E-04,0.5,random,,,2.03E+15,713.6745517,yes,no
ON-5354,12/08/2024 10:26,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3500,EN,0.614732725,,,,,,0.670590186,5.00E-04,0.5,random,,,8.82E+15,3383.245009,yes,no
ON-5351,12/08/2024 10:25,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1500,CS,0.586701434,,0.619197613,,,,,5.00E-04,0.5,random,,,1.90E+15,620.5957844,yes,no
ON-5348,12/08/2024 10:25,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",2,1000,2000,MV,0.62190352,,,0.657493369,,,,5.00E-04,0.5,random,,,5.67E+15,2387.910552,yes,no
ON-5341,12/08/2024 10:25,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,1000,CS,0.59452412,0.61969496,,,,,,5.00E-04,0.5,random,,,1.67E+15,629.5935376,yes,no
ON-5200,10/08/2024 23:13,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,3000,BT,0.627770535,,,,,0.684515915,,5.00E-04,0.5,random,,,8.57E+15,3241.965728,yes,no
ON-5196,10/08/2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",1,1000,2000,b1,0.616036506,,,0.640583554,,,,5.00E-04,0.5,random,,,4.15E+15,1517.646662,yes,no
ON-5193,10/08/2024 23:12,shriram,"[""BATCH_INC_LINEAR""]","[""random""]",0,1000,1500,b1,0.586049544,,0.620855438,,,,,5.00E-04,0.5,random,,,1.80E+15,644.296145,yes,no
