"Id","Creation Time","Owner","Tags","Group Tags","args/seed","args/retrain_freq","args/budget","args/strategy","test/test_gold_acc (last)","online/1000-gold_0 (average)","online/1500-gold_0 (average)","online/2000-gold_0 (average)","online/2500-gold_0 (average)","online/3000-gold_0 (average)","online/3500-gold_0 (average)","args/learning_rate","args/buffer_percent","args/buffer_policy_parameter","train/total_flops","train/total_time_elapsed","train/total_flops (last)","train/total_time_elapsed (last)","args/incremental","args/ewc","args/ewc_lambda"
"ON-5236","2024-08-11 12:34:39","shriram","[""RT_POLARITY""]","[]","0","1000","2000","BT","0.8851383028598219",,,"0.8931071301459248",,,,"5.0E-4","0.5","random",,,"6.68120217E15","2690.975021839142","yes","no","0.4"
"ON-5235","2024-08-11 12:34:24","shriram","[""RT_POLARITY""]","[]","2","1000","3000","BT","0.8851383028598219",,,,,"0.8925139399691541",,"5.0E-4","0.5","random",,,"8.47230669E15","3179.115658521652","yes","no","0.4"
"ON-5234","2024-08-11 12:34:17","shriram","[""RT_POLARITY""]","[]","2","1000","1500","BT","0.8856071261134553",,"0.893344406216633",,,,,"5.0E-4","0.5","random",,,"5.2400832E15","2053.618083715439","yes","no","0.4"
"ON-5230","2024-08-11 12:33:38","shriram","[""RT_POLARITY""]","[]","1","1000","1500","b1","0.8748241912798875",,"0.8778028235852414",,,,,"5.0E-4","0.5","random",,,"1.74913539E15","671.712379693985","yes","no","0.4"
"ON-5228","2024-08-11 12:33:24","shriram","[""RT_POLARITY""]","[]","0","1000","1000","BT","0.8846694796061885","0.8776841855498873",,,,,,"5.0E-4","0.5","random",,,"1.04626521E15","391.6763265132904","yes","no","0.4"
"ON-5225","2024-08-11 12:33:05","shriram","[""RT_POLARITY""]","[]","0","1000","2500","BT","0.8888888888888888",,,,"0.8935816822873414",,,"5.0E-4","0.5","random",,,"7.36486506E15","2825.1219339370728","yes","no","0.4"
"ON-5222","2024-08-11 12:32:44","shriram","[""RT_POLARITY""]","[]","2","1000","1000","b1","0.8781059540553211","0.8692608850397437",,,,,,"5.0E-4","0.5","random",,,"1.1875728E15","443.49207735061646","yes","no","0.4"
"ON-5219","2024-08-11 12:32:14","shriram","[""RT_POLARITY""]","[]","0","1000","2500","b1","0.8842006563525551",,,,"0.8788705659034286",,,"5.0E-4","0.5","random",,,"3.31944309E15","1303.5557210445404","yes","no","0.4"
"ON-5215","2024-08-11 12:31:51","shriram","[""RT_POLARITY""]","[]","1","1000","3500","BT","0.8926394749179559",,,,,,"0.8963103571004865","5.0E-4","0.5","random",,,"1.004909013E16","4060.6995828151703","yes","no","0.4"
"ON-5214","2024-08-11 12:31:39","shriram","[""RT_POLARITY""]","[]","1","1000","3000","BT","0.8823253633380216",,,,,"0.8931071301459248",,"5.0E-4","0.5","random",,,"1.055931108E16","3929.992870092392","yes","no","0.4"
"ON-5213","2024-08-11 12:31:26","shriram","[""RT_POLARITY""]","[]","0","1000","2000","b1","0.8823253633380216",,,"0.8795823941155535",,,,"5.0E-4","0.5","random",,,"3.11315184E15","1243.506229877472","yes","no","0.4"
